CrabID,Site,Temp,Volume,Minutes,Final oxygen concentration,Metabolic rate,Sex,NumberLimbMissing,NumberLimbRegen,TotalWetMass,PerCrabDryMass
SMR266,NJ,22.2,45,112,0.2035,0.133838809,Male,0,0,0.78928,0.17864
SMR71,NJ,28.25,75,80,0.2028,0.310546934,Male,0,0,5.16812,2.30426
SMR243,NJ,22.2,60,93,0.2024,0.24467258,Male,0,0,2.21051,0.91932
SMR53,NJ,22.2,55,83,0.2024,0.250774209,Male,1,1,2.13169,0.87417
SMR282,NJ,23.63333333,45,95,0.2024,0.182667217,Male,1,1,1.01514,0.42836
SMR285,NJ,22.2,45,90,0.2022,0.099245687,Male,2,0,1.33613,0.23675
SMR279,NJ,23.63333333,46,92,0.202,0.20237172,Male,1,1,1.30866,0.5283
SMR85,NJ,23.63333333,50,95,0.202,0.212275099,Male,0,0,1.56452,0.62242
SMR169,NJ,25.54,90,61,0.2019,0.563916994,Male,5,0,13.78316,2.61826
SMR207,NJ,22.2,60,86,0.2015,0.296203995,Male,3,3,2.61528,1.04773
SMR208,NJ,22.2,50,87,0.2013,0.258237635,Male,0,0,1.65602,0.44005
SMR138,NJ,25.54,80,65,0.2012,0.49506298,Male,3,2,7.76451,3.09465
SMR236,NJ,22.2,55,89,0.2009,0.283515832,Male,1,1,2.19461,0.89515
SMR91,NJ,23.63333333,50,96,0.2009,0.239078355,Male,1,0,1.92907,0.74546
SMR240,NJ,22.2,55,90,0.2006,0.291102449,Male,0,0,2.1487,0.85145
SMR277,NJ,23.63333333,70,91,0.2006,0.356072555,Male,2,2,3.50197,1.53542
SMR280,NJ,23.63333333,45,93,0.2005,0.231688431,Male,0,0,1.88465,0.71608
SMR221,NJ,22.56666667,55,101,0.2002,0.271373059,Male,2,2,2.07526,0.81198
SMR39,NJ,26.45,70,85,0.1994,0.427216831,Male,2,0,5.81013,1.65068
SMR10,NJ,25.54,80,68,0.1985,0.634791674,Male,1,1,7.1947,2.90537
SMR89,NJ,25.54,80,64,0.1982,0.659940631,Male,0,0,9.55278,3.85818
SMR45,NJ,26.45,70,87,0.198,0.501316153,Male,1,0,3.75436,0.66265
SMR20,NJ,28.25,70,81,0.1974,0.555017953,Male,2,0,4.72715,0.94905
SMR73,NJ,28.25,80,81,0.1969,0.610665564,Male,0,0,6.80382,2.73471
SMR50,NJ,26.45,70,89,0.1968,0.537963905,Male,1,0,4.65719,0.79028
SMR226,NJ,22.56666667,50,105,0.1953,0.061589642,Male,0,0,1.67476,0.084975
SMR81,NJ,25.54,80,65,0.1948,0.771739302,Male,2,2,13.41242,5.54018
SMR239,NJ,22.1,45,92,0.2039,0.074293078,Multiple,0,0,1.12313,0.229745
SMR234,NJ,22.1,50,94,0.2037,0.083731573,Multiple,0.5,0,1.32028,0.25488
SMR230,NJ,22.1,50,92,0.2031,0.063129875,Multiple,1.3,0,1.27209,0.162806667
SMR222,NJ,22.56666667,45,102,0.2017,0.094058774,Multiple,0,0,1.11085,0.19738
SMR228,NJ,22.56666667,50,106,0.2002,0.11886586,Multiple,1.5,0,1.67027,0.29218
SMR227,NJ,22.56666667,45,107,0.1978,0.134046064,Multiple,1,0.5,1.25645,0.241275
